date,ticker,open,high,low,close,vwap,volume,turnover,status
20211027,000688.SH,1371.7912,1374.3617,1354.3047,1361.8172,1361.8172,8823225.0,46287276.919,000688.SH
20211026,000688.SH,1379.785,1389.4832,1372.6554,1376.1258,1376.1258,7720807.0,46384983.677,000688.SH
20211025,000688.SH,1366.2051,1381.2355,1359.6254,1380.3088,1380.3088,7034967.0,42113126.249,000688.SH
20211022,000688.SH,1367.0587,1379.1876,1359.2732,1368.1361,1368.1361,6723731.0,37975476.344,000688.SH
20211021,000688.SH,1374.6488,1379.1943,1355.9314,1362.4049,1362.4049,6545723.0,35526154.285,000688.SH
20211020,000688.SH,1370.2134,1381.0631,1363.6535,1373.593,1373.593,7260010.0,39490454.471,000688.SH
20211019,000688.SH,1355.07,1369.1628,1352.0107,1366.7911,1366.7911,6254979.0,35742204.53,000688.SH
20211018,000688.SH,1366.5541,1366.5541,1338.8891,1352.5749,1352.5749,6536446.0,37979670.438,000688.SH
20211015,000688.SH,1349.4048,1367.2346,1341.7523,1363.1635,1363.1635,6729274.0,38052889.205,000688.SH
20211014,000688.SH,1346.9885,1356.2118,1339.562,1347.268,1347.268,5616097.0,30878604.208,000688.SH
20211013,000688.SH,1322.8884,1349.167,1322.8884,1344.7629,1344.7629,5223684.0,31080566.725,000688.SH
20211012,000688.SH,1348.2245,1355.9199,1312.4399,1319.3894,1319.3894,5915764.0,33115024.273,000688.SH
20211011,000688.SH,1367.2126,1377.3116,1348.0499,1349.7707,1349.7707,5145543.0,31268013.696,000688.SH
20211008,000688.SH,1378.5305,1388.0228,1361.0371,1364.4581,1364.4581,5502787.0,31614688.004,000688.SH
20210930,000688.SH,1348.6497,1371.4941,1348.6497,1368.7158,1368.7158,5485896.0,31771115.684,000688.SH
20210929,000688.SH,1344.8873,1356.6437,1336.5058,1345.7697,1345.7697,6903713.0,35658624.806,000688.SH
20210928,000688.SH,1362.3276,1379.5922,1350.794,1354.0959,1354.0959,5858258.0,32249890.685,000688.SH
20210927,000688.SH,1386.5235,1397.1804,1354.2019,1368.6905,1368.6905,8402437.0,43661038.139,000688.SH
20210924,000688.SH,1362.9793,1390.5031,1359.845,1374.9995,1374.9995,7169070.0,39188780.55,000688.SH
20210923,000688.SH,1359.6721,1376.5717,1354.2102,1363.7869,1363.7869,7350698.0,38058800.264,000688.SH
20210922,000688.SH,1338.0143,1361.2129,1335.5035,1355.2812,1355.2812,7818997.0,40621275.606,000688.SH
20210917,000688.SH,1349.342,1360.9092,1332.0953,1349.6848,1349.6848,8729839.0,45905528.412,000688.SH
20210916,000688.SH,1378.1767,1380.1621,1347.9022,1351.4252,1351.4252,9126226.0,47704416.479,000688.SH
20210915,000688.SH,1395.6109,1395.9883,1378.9494,1384.5213,1384.5213,7924336.0,43589586.772,000688.SH
20210914,000688.SH,1384.2827,1414.0915,1383.4105,1396.6687,1396.6687,9748823.0,51653707.667,000688.SH
20210913,000688.SH,1426.5403,1426.7633,1384.0201,1384.4339,1384.4339,9265900.0,50564744.294,000688.SH
20210910,000688.SH,1398.3316,1431.7057,1392.2062,1426.814,1426.814,10523019.0,55580134.91,000688.SH
20210909,000688.SH,1414.073,1425.2845,1393.6076,1402.1908,1402.1908,9410267.0,46975512.618,000688.SH
20210908,000688.SH,1439.6636,1439.6636,1408.7209,1412.7232,1412.7232,9905056.0,50089986.842,000688.SH
20210907,000688.SH,1435.7342,1443.3424,1426.026,1438.5691,1438.5691,9452685.0,51064312.997,000688.SH
20210906,000688.SH,1398.2433,1441.7099,1393.5389,1438.9953,1438.9953,9785658.0,50305730.257,000688.SH
